Prefixo,Nome,TipoPosto,Data,Valor,Valor2
351870108A,Guarujá (Jardim da Esperança),2,2025/06/09,9.08068387504154,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/08,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/07,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/06,3.1503720369548716,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/05,13.982988767792076,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/04,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/31,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/30,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/29,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/26,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/25,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/24,7.497584309207939,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/23,16.792230858824546,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/22,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/21,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/19,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/18,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/17,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/16,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/13,3.7557721750827575,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/12,5.521855062540405,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/11,18.346168813230165,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/10,18.132819999999995,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/09,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/08,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/07,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/06,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/05,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/05/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/30,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/29,0.6000000000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/28,4.926800000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/25,15.617000000000003,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/24,16.50872787414389,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/23,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/22,0.79268,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/21,13.206933748018145,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/20,155.0906651897791,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/19,0,null
